dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,reason,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,seconds
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,Baseline,True,,0.5374449339207048,0.3140755996745556,0.1796875,0.02643171806167401,0.8986784140969163,,,,,,,
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,Threshold,True,,0.6409691629955947,0.6399995694170766,0.6531914893617021,0.394273127753304,0.3237885462555066,,,,,,,
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,SMOTE,True,,0.6453744493392071,0.642828494457804,0.6238317757009346,0.2973568281938326,0.4118942731277533,,,,,,,
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,Slacks Deltas,False,timeout,,,,,,,,,,,,30.0
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,Min Deltas,True,,0.6629955947136564,0.6584982181869531,0.6348448687350835,0.2599118942731278,0.41409691629955947,,,,,,,1.018
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,F Deltas,True,,0.6629955947136564,0.6584982181869531,0.6348448687350835,0.2599118942731278,0.41409691629955947,,,,,,,0.034
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,CP Sum,True,,0.6409691629955947,0.6399995694170766,0.6531914893617021,0.394273127753304,0.3237885462555066,0.4552359392644455,0.3747931274102993,0.002998749374687344,0.009995247623811907,True,True,0.369
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,CP Minimax,True,,0.6541850220264317,0.6541813138624342,0.6534216335540839,0.3436123348017621,0.34801762114537443,0.42685686603348066,0.422432545349062,0.002998749374687344,0.010994747373686845,True,True,0.369
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,DKW Sum,True,,0.6409691629955947,0.6399995694170766,0.6531914893617021,0.394273127753304,0.3237885462555066,0.4424696216517886,0.3488565833911146,0.00449799899949975,0.014492996498249127,True,True,0.114
MIMIC-III Mortality,LDA,0,naive,3648,331,10.021148036253777,19,0.4536116699926316,0.46255506607929514,0.008943396086663558,DKW Minimax,True,,0.6519823788546255,0.6519674959606248,0.6504424778761062,0.3436123348017621,0.3524229074889868,0.4068953075125061,0.39958377012203394,0.00449799899949975,0.015492496248124064,True,True,0.112
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,Baseline,True,,0.5462555066079295,0.3402923310022131,0.2076923076923077,0.02643171806167401,0.8810572687224669,,,,,,,
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,Threshold,True,,0.6464757709251101,0.6463622516636556,0.6421404682274248,0.34140969162995594,0.3656387665198238,,,,,,,
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,SMOTE,True,,0.6420704845814978,0.6378163980427427,0.6135552913198573,0.2841409691629956,0.43171806167400884,,,,,,,
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,Slacks Deltas,False,,,,,,,,,,,,,6.391
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,Min Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,F Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,CP Sum,True,,0.6398678414096917,0.6087429914612611,0.551440329218107,0.16299559471365638,0.5572687224669604,0.22856473119579518,0.7060215834556216,0.003498499249624813,0.03598224112056028,True,True,1.321
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,CP Minimax,True,,0.6387665198237885,0.6357821824218007,0.6597510373443983,0.42290748898678415,0.29955947136563876,0.5015088933228635,0.4856458619640472,0.006496998499249626,0.023488494247123563,True,True,1.333
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,DKW Sum,True,,0.6398678414096917,0.6087429914612611,0.551440329218107,0.16299559471365638,0.5572687224669604,0.22092906164698528,0.6638983207869035,0.005997248624312156,0.05397323661830916,True,True,0.03
MIMIC-III Mortality,LDA,0,split,1277,116,10.021148036253777,19,0.4439347197652846,0.45374449339207046,0.009809773626785867,DKW Minimax,True,,0.6420704845814978,0.6403216675969502,0.658254468980021,0.4052863436123348,0.31057268722466963,0.47226073793552453,0.45829823043926105,0.00899574787393697,0.03148449224612306,True,True,0.032
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,Baseline,True,,0.5440528634361234,0.3162001488092751,0.18181818181818182,0.013215859030837005,0.8986784140969163,,,,,,,
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,Threshold,True,,0.6552863436123348,0.6381966164956132,0.5950840879689522,0.1960352422907489,0.4933920704845815,,,,,,,
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,SMOTE,True,,0.6442731277533039,0.6420090872179357,0.6239813736903376,0.30176211453744495,0.40969162995594716,,,,,,,
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,Slacks Deltas,False,timeout,,,,,,,,,,,,30.0
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,Min Deltas,True,,0.6519823788546255,0.6490588101044233,0.6291079812206573,0.28634361233480177,0.40969162995594716,,,,,,,0.907
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,F Deltas,True,,0.6519823788546255,0.6490588101044233,0.6291079812206573,0.28634361233480177,0.40969162995594716,,,,,,,0.035
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,CP Sum,True,,0.6497797356828194,0.6295707518925056,0.5826771653543307,0.1894273127753304,0.5110132158590308,0.23259820770478606,0.5708954746369466,0.0019992496248124065,0.014992746373186596,True,True,0.376
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,CP Minimax,True,,0.6431718061674009,0.6411734993791912,0.660377358490566,0.40748898678414097,0.30616740088105726,0.42165424046053224,0.4192511786796772,0.002998749374687344,0.010994747373686845,True,True,0.371
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,DKW Sum,True,,0.6541850220264317,0.636285627341536,0.5922077922077922,0.19383259911894274,0.4977973568281938,0.23239309664801686,0.532827795504318,0.003498499249624813,0.02048999499749875,True,True,0.118
MIMIC-III Mortality,LDA,1,naive,3648,331,10.021148036253777,19,0.45527298262999266,0.45594713656387664,0.0006741539338839808,DKW Minimax,True,,0.6442731277533039,0.6429831960491048,0.6582010582010582,0.3964757709251101,0.31497797356828194,0.4005642855046677,0.39354147404952633,0.00449799899949975,0.015492496248124064,True,True,0.113
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,Baseline,True,,0.5341409691629956,0.2727544699419143,0.1384928716904277,0.006607929515418502,0.9251101321585903,,,,,,,
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,Threshold,True,,0.6365638766519823,0.6249298899138443,0.5864661654135338,0.2422907488986784,0.4845814977973568,,,,,,,
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,SMOTE,True,,0.6409691629955947,0.6391347867478331,0.6226851851851852,0.31057268722466963,0.40748898678414097,,,,,,,
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,Slacks Deltas,False,,,,,,,,,,,,,6.557
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,Min Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,F Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,CP Sum,True,,0.6409691629955947,0.6306525522181626,0.5945273631840796,0.2444933920704846,0.473568281938326,0.30885611583523176,0.5628835608604339,0.00449799899949975,0.026986743371685846,True,True,1.299
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,CP Minimax,True,,0.6288546255506607,0.6265348713374569,0.6478578892371996,0.4251101321585903,0.31718061674008813,0.4547371815747992,0.44097456807074387,0.005997248624312156,0.02148949474737369,True,True,1.298
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,DKW Sum,True,,0.6409691629955947,0.6306525522181626,0.5945273631840796,0.2444933920704846,0.473568281938326,0.29549585206327567,0.5162627584802288,0.006496998499249626,0.03598224112056028,True,True,0.029
MIMIC-III Mortality,LDA,1,split,1277,116,10.021148036253777,19,0.4576627691245631,0.4658590308370044,0.00819626171244131,DKW Minimax,True,,0.6299559471365639,0.628564280242326,0.6448202959830867,0.4118942731277533,0.32819383259911894,0.42286338502421883,0.4166458323718821,0.007996248124062032,0.02898574287143572,True,True,0.031
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,Baseline,True,,0.5220264317180616,0.21964671123027152,0.09205020920502092,0.004405286343612335,0.9515418502202643,,,,,,,
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,Threshold,True,,0.6442731277533039,0.6434810070840519,0.655282817502668,0.3876651982378855,0.3237885462555066,,,,,,,
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,SMOTE,True,,0.6530837004405287,0.6508503089854656,0.6332945285215367,0.29295154185022027,0.4008810572687225,,,,,,,
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,Balanced Weights,True,,0.6497797356828194,0.6461820809976706,0.624113475177305,0.28193832599118945,0.4185022026431718,,,,,,,
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,Slacks Deltas,False,timeout,,,,,,,,,,,,30.0
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,Min Deltas,True,,0.6596916299559471,0.6564837466265969,0.6360424028268551,0.2753303964757709,0.4052863436123348,,,,,,,1.209
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,F Deltas,True,,0.6596916299559471,0.6564837466265969,0.6360424028268551,0.2753303964757709,0.4052863436123348,,,,,,,0.035
MIMIC-III Mortality,Linear,0,naive,3648,331,10.021148036253777,19,0.48912131680885884,0.4779735682819383,-0.01114774852692052,CP Sum,True,,0.6442731277533039,0.6434810070840519,0.655282817502668,0.3876651982378855,0.3237885462555066,0.44182648571320227,0.38746307040366545,0.002998749374687344,0.010494997498749376,True,True,0.377
