dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,LDA,5,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5380295217454585,0.0084959979989995,0.9915040020010005
Abalone Gender,LDA,5,naive,DKW Sum,0.0,840,76,764,0,1.0,0.497521071647216,0.0119942471235617,0.9880057528764383
Abalone Gender,LDA,5,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5040655742650171,0.0119942471235617,0.9880057528764383
Abalone Gender,LDA,5,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,5,split,CP Minimax,0.0,294,27,764,0,1.0,0.6641218798817079,0.0204899949974987,0.9795100050025013
Abalone Gender,LDA,5,split,DKW Sum,0.0,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,5,split,DKW Minimax,0.0,294,27,764,0,1.0,0.6205599671370681,0.0294854927463731,0.9705145072536269
Abalone Gender,LDA,6,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,6,naive,CP Minimax,0.0,840,76,764,0,1.0,0.559880768419465,0.0089957478739369,0.9910042521260631
Abalone Gender,LDA,6,naive,DKW Sum,0.0,840,76,764,0,1.0,0.3045527463635068,0.0084959979989995,0.9915040020010005
Abalone Gender,LDA,6,naive,DKW Minimax,0.0,840,76,764,0,0.0,0.5234502396148415,0.0124939969984992,0.9875060030015008
Abalone Gender,LDA,6,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,6,split,CP Minimax,0.0,294,27,764,0,1.0,0.7188438958742367,0.022988744372186,0.977011255627814
Abalone Gender,LDA,6,split,DKW Sum,0.0,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,6,split,DKW Minimax,0.0,294,27,764,0,1.0,0.6819018039238287,0.0359822411205602,0.9640177588794399
Abalone Gender,LDA,7,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,7,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5495077852231749,0.0089957478739369,0.9910042521260631
Abalone Gender,LDA,7,naive,DKW Sum,0.0,840,76,764,0,1.0,0.4341910041599361,0.0104949974987493,0.9895050025012507
Abalone Gender,LDA,7,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.497521071647216,0.0119942471235617,0.9880057528764383
Abalone Gender,LDA,7,split,CP Sum,-0.0013089005235601,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,7,split,CP Minimax,-0.0013089005235601,294,27,764,0,1.0,0.66763875571932,0.0204899949974987,0.9795100050025013
Abalone Gender,LDA,7,split,DKW Sum,-0.0013089005235601,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,7,split,DKW Minimax,-0.0013089005235601,294,27,764,0,1.0,0.631410766460757,0.0304849924962481,0.9695150075037519
Abalone Gender,LDA,8,naive,CP Sum,0.0,840,76,764,0,1.0,0.0489139788289576,0.0019992496248124,0.9980007503751877
Abalone Gender,LDA,8,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5380295217454585,0.0084959979989995,0.9915040020010005
Abalone Gender,LDA,8,naive,DKW Sum,0.0,840,76,764,0,0.0,0.5310634671459088,0.0129937468734367,0.9870062531265633
Abalone Gender,LDA,8,naive,DKW Minimax,0.0,840,76,764,0,0.0,0.5103612343792394,0.0124939969984992,0.9875060030015008
