dataset,measure,seed,e1,ub1,d1,e2,ub2,d2,ok1,ok2
Pima Indian Diabetes,CP,8,0.292,0.3353123855340808,0.010994747373686845,0.345679012345679,0.29800396229579384,0.04347848924462232,True,False
Pima Indian Diabetes,DKW,8,0.292,0.3112951201905308,0.015492496248124064,0.345679012345679,0.2812488491523916,0.05447298649324663,True,False
Pima Indian Diabetes,CP,9,0.252,0.370051603674867,0.011994247123561782,0.3374485596707819,0.29800396229579384,0.04347848924462232,True,False
Pima Indian Diabetes,DKW,9,0.252,0.3426077271186148,0.016491995997999002,0.3374485596707819,0.2812488491523916,0.05447298649324663,True,False
Hepatitis,CP,0,0.08928571428571429,0.25964027197213296,0.023988244122061034,0.5384615384615384,0.3336699472351205,0.07146448224112056,True,False
Hepatitis,DKW,0,0.14285714285714285,0.26624999961873175,0.03398324162081041,0.38461538461538464,0.30980479757431606,0.08245897948974489,True,False
Hepatitis,CP,1,0.08928571428571429,0.25964027197213296,0.023988244122061034,0.5384615384615384,0.3336699472351205,0.07146448224112056,True,False
Hepatitis,DKW,1,0.14285714285714285,0.26624999961873175,0.03398324162081041,0.38461538461538464,0.30980479757431606,0.08245897948974489,True,False
Hepatitis,CP,2,0.23214285714285715,0.4168212095983038,0.032483991995998,0.23076923076923078,0.5258446979036256,0.09545247623811907,True,True
Hepatitis,DKW,2,0.23214285714285715,0.3532280745776048,0.03948049024512257,0.23076923076923078,0.44768115459640095,0.10594722361180592,True,True
Hepatitis,CP,3,0.44642857142857145,0.25964027197213296,0.023988244122061034,0.15384615384615385,0.3336699472351205,0.07146448224112056,False,True
Hepatitis,DKW,3,0.44642857142857145,0.24845181815702388,0.033483491745872944,0.15384615384615385,0.30980479757431606,0.08245897948974489,False,True
Hepatitis,CP,4,0.48214285714285715,0.3084890886614845,0.02648699349674838,0.15384615384615385,0.3336699472351205,0.07146448224112056,False,True
Hepatitis,DKW,4,0.5,0.30112558471378414,0.03598224112056028,0.07692307692307693,0.30980479757431606,0.08245897948974489,False,True
Hepatitis,CP,5,0.32142857142857145,0.43671063930914095,0.03398324162081041,0.15384615384615385,0.5258446979036256,0.09545247623811907,True,True
Hepatitis,DKW,5,0.32142857142857145,0.3707456242261652,0.0404799899949975,0.15384615384615385,0.44768115459640095,0.10594722361180592,True,True
Hepatitis,CP,6,0.19642857142857142,0.3084890886614845,0.02648699349674838,0.46153846153846156,0.43979712720831354,0.08395822911455729,True,False
Hepatitis,DKW,6,0.19642857142857142,0.28367874691585965,0.03498274137068535,0.46153846153846156,0.37919991579392043,0.09295372686343173,True,False
Hepatitis,CP,7,0.48214285714285715,0.39618174310953697,0.03148449224612306,0.15384615384615385,0.5258446979036256,0.09545247623811907,False,True
Hepatitis,DKW,7,0.48214285714285715,0.3532280745776048,0.03948049024512257,0.15384615384615385,0.44768115459640095,0.10594722361180592,False,True
Hepatitis,CP,8,0.23214285714285715,0.33127160998225014,0.027986243121560783,0.3076923076923077,0.43979712720831354,0.08395822911455729,True,True
Hepatitis,DKW,8,0.23214285714285715,0.30112558471378414,0.03598224112056028,0.3076923076923077,0.37919991579392043,0.09295372686343173,True,True
Hepatitis,CP,9,0.44642857142857145,0.25964027197213296,0.023988244122061034,0.3076923076923077,0.3336699472351205,0.07146448224112056,False,True
Hepatitis,DKW,9,0.44642857142857145,0.24845181815702388,0.033483491745872944,0.3076923076923077,0.30980479757431606,0.08245897948974489,False,True
Heart Disease,CP,0,0.18292682926829268,0.37813057102699654,0.023488494247123563,0.08333333333333333,0.3643042829461181,0.04997523761880941,True,True
Heart Disease,DKW,0,0.18292682926829268,0.34067096184933987,0.030984742371185595,0.08333333333333333,0.32545532915117564,0.059970235117558786,True,True
Heart Disease,CP,1,0.18292682926829268,0.37813057102699654,0.023488494247123563,0.08333333333333333,0.3643042829461181,0.04997523761880941,True,True
Heart Disease,DKW,1,0.18292682926829268,0.34067096184933987,0.030984742371185595,0.08333333333333333,0.32545532915117564,0.059970235117558786,True,True
Heart Disease,CP,2,0.25609756097560976,0.3641403560359209,0.022988744372186096,0.041666666666666664,0.3643042829461181,0.04997523761880941,True,True
Heart Disease,DKW,2,0.25609756097560976,0.32916106191785977,0.029985242621310658,0.041666666666666664,0.32545532915117564,0.059970235117558786,True,True
Heart Disease,CP,3,0.21951219512195122,0.306242235426589,0.02048999499749875,0.16666666666666666,0.3057382977904828,0.04547748874437219,True,True
Heart Disease,DKW,3,0.21951219512195122,0.281811961721752,0.027986243121560783,0.16666666666666666,0.2863608034188698,0.05647198599299651,True,True
Heart Disease,CP,4,0.2926829268292683,0.27541568396542854,0.019490495247623814,0.0,0.23529125287882735,0.03998024012006003,False,True
Heart Disease,DKW,4,0.2926829268292683,0.25817067674968414,0.026986743371685846,0.0,0.24740145424619026,0.05297373686843422,False,True
Heart Disease,CP,5,0.18292682926829268,0.3211842143294833,0.02098974487243622,0.08333333333333333,0.3643042829461181,0.04997523761880941,True,True
Heart Disease,DKW,5,0.18292682926829268,0.29364119902794994,0.028485992996498254,0.08333333333333333,0.32545532915117564,0.059970235117558786,True,True
Heart Disease,CP,6,0.21951219512195122,0.3211842143294833,0.02098974487243622,0.16666666666666666,0.3643042829461181,0.04997523761880941,True,True
Heart Disease,DKW,6,0.21951219512195122,0.29364119902794994,0.028485992996498254,0.16666666666666666,0.32545532915117564,0.059970235117558786,True,True
Heart Disease,CP,7,0.25609756097560976,0.3641403560359209,0.022988744372186096,0.0,0.4160737450769644,0.054972736368184096,True,True
Heart Disease,DKW,7,0.25609756097560976,0.32916106191785977,0.029985242621310658,0.0,0.3643292998482883,0.06396823411705854,True,True
Heart Disease,CP,8,0.14634146341463414,0.3211842143294833,0.02098974487243622,0.125,0.3643042829461181,0.04997523761880941,True,True
Heart Disease,DKW,8,0.14634146341463414,0.29364119902794994,0.028485992996498254,0.125,0.32545532915117564,0.059970235117558786,True,True
Heart Disease,CP,9,0.1951219512195122,0.3641403560359209,0.022988744372186096,0.08333333333333333,0.4160737450769644,0.054972736368184096,True,True
Heart Disease,DKW,9,0.1951219512195122,0.3173159232657007,0.02948549274637319,0.08333333333333333,0.3643292998482883,0.06396823411705854,True,True
