dataset,measure,seed,e1,ub1,d1,e2,ub2,d2,ok1,ok2
Breast Cancer,CP,0,0.12849162011173185,0.19927446897054135,0.009995247623811907,0.015384615384615385,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,0,0.12849162011173185,0.2089057740412006,0.01599224612306153,0.015384615384615385,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,1,0.12849162011173185,0.19927446897054135,0.009995247623811907,0.015384615384615385,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,1,0.12849162011173185,0.2089057740412006,0.01599224612306153,0.015384615384615385,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,2,0.15083798882681565,0.19927446897054135,0.009995247623811907,0.020512820512820513,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,2,0.1564245810055866,0.2089057740412006,0.01599224612306153,0.020512820512820513,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,3,0.15083798882681565,0.19927446897054135,0.009995247623811907,0.03076923076923077,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,3,0.15083798882681565,0.2089057740412006,0.01599224612306153,0.03076923076923077,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,4,0.1005586592178771,0.19927446897054135,0.009995247623811907,0.015384615384615385,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,4,0.11173184357541899,0.2089057740412006,0.01599224612306153,0.010256410256410256,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,5,0.0893854748603352,0.19927446897054135,0.009995247623811907,0.015384615384615385,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,5,0.10614525139664804,0.2089057740412006,0.01599224612306153,0.015384615384615385,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,6,0.11731843575418995,0.21402891253295267,0.009995247623811907,0.010256410256410256,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,6,0.12290502793296089,0.21974000547680883,0.016491995997999002,0.010256410256410256,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,7,0.0446927374301676,0.19927446897054135,0.009995247623811907,0.03076923076923077,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,7,0.0782122905027933,0.2089057740412006,0.01599224612306153,0.03076923076923077,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,8,0.12849162011173185,0.2823674346779707,0.011994247123561782,0.005128205128205128,0.2883234523435189,0.055472486243121566,True,True
Breast Cancer,DKW,8,0.15083798882681565,0.2747756269249934,0.01799124562281141,0.005128205128205128,0.28121293318900475,0.06796623311655829,True,True
Breast Cancer,CP,9,0.12849162011173185,0.25545114948987774,0.011494497248624313,0.010256410256410256,0.37780559040741624,0.06396823411705854,True,True
Breast Cancer,DKW,9,0.10614525139664804,0.23620276631361486,0.016991745872936472,0.010256410256410256,0.3355792711193243,0.07396323161580791,True,True
Pima Indian Diabetes,CP,0,0.336,0.44197713916370307,0.01349349674837419,0.23868312757201646,0.4052722630853213,0.05247398699349676,True,True
Pima Indian Diabetes,DKW,0,0.336,0.4093361225399972,0.018490995497748876,0.23868312757201646,0.3558438989222631,0.06196923461730866,True,True
Pima Indian Diabetes,CP,1,0.336,0.44197713916370307,0.01349349674837419,0.23868312757201646,0.4052722630853213,0.05247398699349676,True,True
Pima Indian Diabetes,DKW,1,0.336,0.4093361225399972,0.018490995497748876,0.23868312757201646,0.3558438989222631,0.06196923461730866,True,True
Pima Indian Diabetes,CP,2,0.34,0.5110194119236895,0.015492496248124064,0.2551440329218107,0.4520149192410864,0.05647198599299651,True,True
Pima Indian Diabetes,DKW,2,0.26,0.3819559945021177,0.01749149574787394,0.3662551440329218,0.43002487920168647,0.0709647323661831,True,True
Pima Indian Diabetes,CP,3,0.252,0.33978127665658536,0.010994747373686845,0.37037037037037035,0.3547566448587999,0.04797623811905954,True,False
Pima Indian Diabetes,DKW,3,0.252,0.31494670188100204,0.01599224612306153,0.37037037037037035,0.318654911077792,0.05797123561780891,True,False
Pima Indian Diabetes,CP,4,0.244,0.36567049722248707,0.011994247123561782,0.3045267489711934,0.3547566448587999,0.04797623811905954,True,True
Pima Indian Diabetes,DKW,4,0.244,0.3386077271186148,0.016491995997999002,0.3045267489711934,0.318654911077792,0.05797123561780891,True,True
Pima Indian Diabetes,CP,5,0.232,0.24408605945875111,0.00899574787393697,0.411522633744856,0.29800396229579384,0.04347848924462232,True,False
Pima Indian Diabetes,DKW,5,0.232,0.24040325156400785,0.013993246623311658,0.4074074074074074,0.2812488491523916,0.05447298649324663,True,False
Pima Indian Diabetes,CP,6,0.228,0.27694259749075334,0.009495497748874438,0.4444444444444444,0.3547566448587999,0.04797623811905954,True,False
Pima Indian Diabetes,DKW,6,0.228,0.2600227118309224,0.014492996498249127,0.4444444444444444,0.318654911077792,0.05797123561780891,True,False
Pima Indian Diabetes,CP,7,0.276,0.4584194115172169,0.013993246623311658,0.2345679012345679,0.4520149192410864,0.05647198599299651,True,True
Pima Indian Diabetes,DKW,7,0.256,0.41703711028698687,0.018990745372686347,0.24691358024691357,0.3931779200775383,0.06596723361680841,True,True
