dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,Baseline,True,0.8317307692307693,0.8162714018506896,0.799771167048055,0.008653846153846154,0.3278846153846154,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,Threshold,True,0.8451923076923077,0.833289446576127,0.8197088465845466,0.013461538461538462,0.29615384615384616,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,SMOTE,True,0.8913461538461539,0.8874119674649424,0.8814270724029382,0.025,0.19230769230769232,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,Slacks Deltas,True,0.8673076923076923,0.8603528930570966,0.8509719222462203,0.023076923076923078,0.2423076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,Min Deltas,True,0.9110576923076923,0.9107276903858271,0.9088220798422868,0.06442307692307692,0.11346153846153846,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,F Deltas,True,0.8524038461538461,0.84238781670191,0.8302929795467109,0.01730769230769231,0.2778846153846154,,,,,,
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,CP Sum,True,0.8451923076923077,0.833289446576127,0.8197088465845466,0.013461538461538462,0.29615384615384616,0.008587488619581226,0.05784703314859615,0.0005,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,CP Minimax,True,0.8879807692307692,0.8846007523873469,0.8785825951016154,0.03461538461538462,0.18942307692307692,0.011680115520254122,0.05784703314859615,0.0005,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,DKW Sum,True,0.8451923076923077,0.833289446576127,0.8197088465845466,0.013461538461538462,0.29615384615384616,0.04023194482202332,0.11030378306523039,0.003498499249624813,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,0,naive,1921,174,10.040229885057471,784,0.0,0.16826923076923078,0.16826923076923078,DKW Minimax,True,0.9009615384615385,0.8990502878695625,0.8947906026557712,0.04038461538461539,0.1576923076923077,0.04834032482128752,0.11030378306523039,0.003998249124562281,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,Baseline,True,0.8158653846153846,0.7976076006504607,0.7777132907719095,0.0125,0.3557692307692308,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,Threshold,True,0.8336538461538462,0.8200480078672837,0.8042986425339367,0.016346153846153847,0.31634615384615383,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,SMOTE,True,0.8841346153846154,0.8793530771649841,0.8724192694547379,0.02403846153846154,0.2076923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,Slacks Deltas,True,0.9129807692307692,0.9127882133798657,0.9145823501651722,0.10576923076923077,0.06826923076923076,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,Min Deltas,True,0.9096153846153846,0.9096108106894272,0.9098753595397892,0.09326923076923077,0.0875,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,F Deltas,True,0.9096153846153846,0.9096108106894272,0.9098753595397892,0.09326923076923077,0.0875,,,,,,
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,CP Sum,True,0.9091346153846154,0.9090785535739182,0.9082078678970373,0.08076923076923077,0.10096153846153846,0.12587434034980116,0.160678568211542,0.003498499249624813,0.01799124562281141,True,True
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,CP Minimax,True,0.9110576923076923,0.9107530696331216,0.913104744011273,0.1125,0.06538461538461539,0.16767992779803947,0.12668197781187193,0.003998249124562281,0.01599224612306153,True,True
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,DKW Sum,True,0.9014423076923077,0.9007208651536152,0.8977556109725686,0.0625,0.1346153846153846,0.11269200874894159,0.20274003471837848,0.006996748374187095,0.02948549274637319,True,True
PneumoniaMNIST,GradientBoosting,0,split,673,61,10.040229885057471,784,0.0,0.1841346153846154,0.1841346153846154,DKW Minimax,True,0.9081730769230769,0.9077595314090099,0.9106223678053346,0.11923076923076924,0.06442307692307692,0.17392101489156814,0.17120695478227024,0.007996248124062032,0.027986243121560783,True,True
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,Baseline,True,0.8370192307692308,0.821752619018586,0.8061749571183534,0.0038461538461538464,0.32211538461538464,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,Threshold,True,0.8572115384615384,0.8461899030779119,0.8345403899721449,0.0057692307692307696,0.2798076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,SMOTE,True,0.9177884615384615,0.9158188207424193,0.9125319693094628,0.022115384615384617,0.1423076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,Slacks Deltas,True,0.9201923076923076,0.9191286755342525,0.9164989939637826,0.035576923076923075,0.12403846153846154,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,Min Deltas,True,0.9254807692307693,0.9253447702272825,0.9242794333170493,0.058653846153846154,0.09038461538461538,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,F Deltas,True,0.8759615384615385,0.869075994559467,0.8606911447084233,0.014423076923076924,0.23365384615384616,,,,,,
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,CP Sum,True,0.8572115384615384,0.8461899030779119,0.8345403899721449,0.0057692307692307696,0.2798076923076923,0.008587488619581226,0.05784703314859615,0.0005,0.005497498749374687,True,False
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,CP Minimax,True,0.9091346153846154,0.906457969403909,0.9023255813953489,0.021153846153846155,0.1605769230769231,0.02376611236469667,0.05784703314859615,0.0009997498749374687,0.005497498749374687,True,False
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,DKW Sum,True,0.8572115384615384,0.8461899030779119,0.8345403899721449,0.0057692307692307696,0.2798076923076923,0.04023194482202332,0.11030378306523039,0.003498499249624813,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,1,naive,1921,174,10.040229885057471,784,0.0,0.16298076923076923,0.16298076923076923,DKW Minimax,True,0.9163461538461538,0.9148739081160198,0.9117647058823529,0.03173076923076923,0.13557692307692307,0.053492013430331595,0.11030378306523039,0.003998249124562281,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,Baseline,True,0.8201923076923077,0.8017230196868854,0.7825581395348837,0.006730769230769231,0.3528846153846154,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,Threshold,True,0.8504807692307692,0.838894780447895,0.8261598658468419,0.009615384615384616,0.28942307692307695,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,SMOTE,True,0.8942307692307693,0.890832563013636,0.8852971845672577,0.027884615384615386,0.18365384615384617,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,Slacks Deltas,True,0.9182692307692307,0.9174225859348744,0.9213691026827011,0.12115384615384615,0.04230769230769231,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,Min Deltas,True,0.9278846153846154,0.9278826225566484,0.9280230326295585,0.07403846153846154,0.07019230769230769,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,F Deltas,True,0.9278846153846154,0.9278826225566484,0.9280230326295585,0.07403846153846154,0.07019230769230769,,,,,,
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,CP Sum,True,0.9225961538461539,0.9225509318696129,0.9218825812712276,0.06826923076923076,0.08653846153846154,0.12171797312905495,0.24017095355385856,0.003498499249624813,0.02148949474737369,True,True
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,CP Minimax,True,0.9129807692307692,0.9112463017676434,0.9176149294492489,0.14326923076923076,0.03076923076923077,0.22418506119548148,0.1898503127371149,0.004997748874437219,0.018990745372686347,True,True
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,DKW Sum,True,0.9225961538461539,0.9225509318696129,0.9218825812712276,0.06826923076923076,0.08653846153846154,0.1302217003011412,0.2347211203052686,0.007496498249124564,0.03048499249624813,True,True
PneumoniaMNIST,GradientBoosting,1,split,673,61,10.040229885057471,784,0.0,0.1798076923076923,0.1798076923076923,DKW Minimax,True,0.9110576923076923,0.9091365221881317,0.9160236041761236,0.14807692307692308,0.02980769230769231,0.21764314430333748,0.20274003471837848,0.008495997998999501,0.02948549274637319,True,True
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,Baseline,True,0.8514423076923077,0.8392198405831468,0.8265019651880966,0.004807692307692308,0.2923076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,Threshold,True,0.8740384615384615,0.8668923830823257,0.8582251082251081,0.014423076923076924,0.2375,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,SMOTE,True,0.9096153846153846,0.9077223552718943,0.9039836567926456,0.03173076923076923,0.14903846153846154,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,Slacks Deltas,True,0.9120192307692307,0.9110149421672902,0.9080863887493722,0.04519230769230769,0.13076923076923078,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,Min Deltas,True,0.9221153846153847,0.9221133793192281,0.9219653179190751,0.07596153846153846,0.0798076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,F Deltas,True,0.89375,0.8894090435483339,0.8835002635740643,0.01826923076923077,0.19423076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,CP Sum,True,0.8740384615384615,0.8668923830823257,0.8582251082251081,0.014423076923076924,0.2375,0.008587488619581226,0.05784703314859615,0.0005,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,CP Minimax,True,0.9120192307692307,0.9103418387142324,0.9068702290076336,0.032692307692307694,0.14326923076923076,0.016995121430955187,0.05784703314859615,0.0009997498749374687,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,DKW Sum,True,0.8740384615384615,0.8668923830823257,0.8582251082251081,0.014423076923076924,0.2375,0.04023194482202332,0.11030378306523039,0.003498499249624813,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,2,naive,1921,174,10.040229885057471,784,0.0,0.1485576923076923,0.1485576923076923,DKW Minimax,True,0.9149038461538461,0.9140746929976228,0.9114557278639319,0.046153846153846156,0.12403846153846154,0.04891273466673686,0.11030378306523039,0.003998249124562281,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,Baseline,True,0.8375,0.822520143275941,0.8070776255707762,0.004807692307692308,0.32019230769230766,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,Threshold,True,0.8596153846153847,0.8496105094403431,0.838495575221239,0.009615384615384616,0.27115384615384613,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,SMOTE,True,0.9043269230769231,0.9017098320977626,0.8972638100154878,0.026923076923076925,0.16442307692307692,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,Slacks Deltas,True,0.9120192307692307,0.9114502148130967,0.9147647880763856,0.1201923076923077,0.05576923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,Min Deltas,True,0.916826923076923,0.916771331661398,0.9159786304031083,0.07307692307692308,0.09326923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,F Deltas,True,0.916826923076923,0.916771331661398,0.9159786304031083,0.07307692307692308,0.09326923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,CP Sum,True,0.9182692307692307,0.9180471942594095,0.9198868991517436,0.10192307692307692,0.06153846153846154,0.159799374272732,0.21573174592927005,0.003998249124562281,0.02048999499749875,True,True
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,CP Minimax,True,0.9115384615384615,0.9106434262125555,0.9149722735674677,0.12884615384615383,0.04807692307692308,0.19627053295470248,0.1898503127371149,0.00449799899949975,0.018990745372686347,True,True
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,DKW Sum,True,0.9182692307692307,0.9180471942594095,0.9198868991517436,0.10192307692307692,0.06153846153846154,0.16126745193512812,0.21872769856389987,0.007496498249124564,0.029985242621310658,True,True
PneumoniaMNIST,GradientBoosting,2,split,673,61,10.040229885057471,784,0.0,0.16249999999999998,0.16249999999999998,DKW Minimax,True,0.9086538461538461,0.9074315140343772,0.9127640036730945,0.13846153846153847,0.04423076923076923,0.19679683188503216,0.20274003471837848,0.007996248124062032,0.02948549274637319,True,True
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Baseline,True,0.8355769230769231,0.8207461607312152,0.8050171037628279,0.007692307692307693,0.3211538461538462,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Threshold,True,0.8548076923076923,0.8439876117321844,0.832035595105673,0.009615384615384616,0.28076923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,SMOTE,True,0.9004807692307693,0.8976269256395645,0.8928016571724495,0.027884615384615386,0.17115384615384616,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Slacks Deltas,True,0.8966346153846154,0.8937684909329794,0.8886587260486793,0.03173076923076923,0.175,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Min Deltas,True,0.9211538461538461,0.9208145352262983,0.9191321499013807,0.05384615384615385,0.10384615384615385,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,F Deltas,True,0.8600961538461539,0.850317552934433,0.8393152954168966,0.010576923076923078,0.2692307692307692,,,,,,
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,CP Sum,True,0.8548076923076923,0.8439876117321844,0.832035595105673,0.009615384615384616,0.28076923076923077,0.008587488619581226,0.05784703314859615,0.0005,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,CP Minimax,True,0.8966346153846154,0.8937684909329794,0.8886587260486793,0.03173076923076923,0.175,0.014178339038324161,0.05784703314859615,0.0005,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,DKW Sum,True,0.8548076923076923,0.8439876117321844,0.832035595105673,0.009615384615384616,0.28076923076923077,0.04023194482202332,0.11030378306523039,0.003498499249624813,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,3,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,DKW Minimax,True,0.9038461538461539,0.9018138977710521,0.8976458546571136,0.035576923076923075,0.15673076923076923,0.04595604327651674,0.11030378306523039,0.003498499249624813,0.014492996498249127,True,False
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,Baseline,True,0.8081730769230769,0.7878069515429579,0.7659824046920822,0.011538461538461539,0.3721153846153846,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,Threshold,True,0.8298076923076924,0.815056288214857,0.7984054669703873,0.014423076923076924,0.32596153846153847,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,SMOTE,True,0.8841346153846154,0.8796495234033089,0.8728232189973614,0.026923076923076925,0.2048076923076923,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,Slacks Deltas,True,0.9153846153846154,0.9148673393015568,0.917910447761194,0.11538461538461539,0.05384615384615385,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,Min Deltas,True,0.9177884615384615,0.917721846516669,0.9168692270296548,0.07115384615384615,0.09326923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,F Deltas,True,0.9177884615384615,0.917721846516669,0.9168692270296548,0.07115384615384615,0.09326923076923077,,,,,,
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,CP Sum,True,0.9091346153846154,0.9076780474759883,0.9135802469135802,0.1423076923076923,0.03942307692307692,0.22418506119548148,0.160678568211542,0.004997748874437219,0.01799124562281141,True,True
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,CP Minimax,True,0.9134615384615384,0.9125253299556407,0.9168975069252078,0.12788461538461537,0.04519230769230769,0.2148155867571137,0.1898503127371149,0.004997748874437219,0.018990745372686347,True,True
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,DKW Sum,True,0.9192307692307692,0.9191985832794558,0.9198473282442747,0.08846153846153847,0.07307692307692308,0.15799947807891895,0.2347211203052686,0.007496498249124564,0.03048499249624813,True,True
PneumoniaMNIST,GradientBoosting,3,split,673,61,10.040229885057471,784,0.0,0.1918269230769231,0.1918269230769231,DKW Minimax,True,0.9091346153846154,0.9076780474759883,0.9135802469135802,0.1423076923076923,0.03942307692307692,0.2160091573752329,0.1871761822374241,0.008495997998999501,0.028485992996498254,True,True
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Baseline,True,0.8355769230769231,0.8207461607312152,0.8050171037628279,0.007692307692307693,0.3211538461538462,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Threshold,True,0.8519230769230769,0.8409103266786494,0.8285077951002227,0.011538461538461539,0.2846153846153846,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,SMOTE,True,0.916826923076923,0.9148552121355584,0.9115089514066497,0.023076923076923078,0.14326923076923076,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Balanced Weights,False,,,,,,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Slacks Deltas,True,0.9144230769230769,0.9130019086546866,0.9098277608915907,0.03461538461538462,0.13653846153846153,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,Min Deltas,True,0.9240384615384616,0.9238178116449293,0.9224730127576054,0.05576923076923077,0.09615384615384616,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,F Deltas,True,0.8706730769230769,0.8630577692239098,0.8538837588267245,0.014423076923076924,0.24423076923076922,,,,,,
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,CP Sum,True,0.8519230769230769,0.8409103266786494,0.8285077951002227,0.011538461538461539,0.2846153846153846,0.008587488619581226,0.05784703314859615,0.0005,0.005497498749374687,False,False
PneumoniaMNIST,GradientBoosting,4,naive,1921,174,10.040229885057471,784,0.0,0.16442307692307695,0.16442307692307695,CP Minimax,True,0.9048076923076923,0.9020055932402451,0.8975155279503105,0.02403846153846154,0.16634615384615384,0.016429896680506813,0.05784703314859615,0.0005,0.005497498749374687,False,False
