dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,reason,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,seconds
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Baseline,True,,0.5,0.0,0.0,0.0,1.0,,,,,,,
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Threshold,True,,0.728,0.7244308110509934,0.746268656716418,0.344,0.2,,,,,,,
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,SMOTE,True,,0.728,0.7251813566274302,0.7443609022556391,0.336,0.208,,,,,,,
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Balanced Weights,True,,0.728,0.7251813566274302,0.7443609022556391,0.336,0.208,,,,,,,
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Slacks Deltas,False,,,,,,,,,,,,,45.651
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Min Deltas,True,,0.756,0.7397296803562772,0.7889273356401384,0.4,0.088,,,,,,,2.004
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,F Deltas,True,,0.732,0.6981575753366858,0.780327868852459,0.488,0.048,,,,,,,0.037
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,CP Sum,True,,0.748,0.7362608233499865,0.7773851590106007,0.384,0.12,0.377100500864575,0.27049453697857295,0.003498499249624813,0.014492996498249127,False,True,3.167
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,CP Minimax,True,,0.728,0.7235910447207041,0.7481481481481481,0.352,0.192,0.3349153513883214,0.32806047734820887,0.002998749374687344,0.016491995997999002,False,True,3.21
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,DKW Sum,True,,0.728,0.7244308110509934,0.746268656716418,0.344,0.2,0.30577403866661074,0.3088236612332339,0.00449799899949975,0.022988744372186096,False,True,0.093
Stroke Prediction,Linear,0,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,DKW Minimax,True,,0.728,0.7235910447207041,0.7481481481481481,0.352,0.192,0.3201773308476807,0.30075914510420165,0.00449799899949975,0.022988744372186096,False,True,0.087
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,Baseline,True,,0.504,0.08944271909999157,0.015873015873015872,0.0,0.992,,,,,,,
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,Threshold,True,,0.736,0.7261514993443172,0.7642857142857142,0.384,0.144,,,,,,,
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,SMOTE,True,,0.696,0.6952639786440831,0.7054263565891473,0.336,0.272,,,,,,,
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,Balanced Weights,True,,0.712,0.7103801799036907,0.7251908396946565,0.336,0.24,,,,,,,
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,Slacks Deltas,False,,,,,,,,,,,,,2.92
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,Min Deltas,True,,0.704,0.7035907901614403,0.7109375,0.32,0.272,,,,,,,0.811
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,F Deltas,True,,0.756,0.7361738925009498,0.7918088737201365,0.416,0.072,,,,,,,0.035
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,CP Sum,True,,0.728,0.6900434768911303,0.7792207792207793,0.504,0.04,0.5344987293606585,0.20667331820692855,0.007996248124062032,0.02548749374687344,True,True,1.006
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,CP Minimax,True,,0.732,0.7227503026633748,0.7598566308243727,0.384,0.152,0.3932201003900885,0.397521222014545,0.005997248624312156,0.03648199099549775,True,True,0.99
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,DKW Sum,True,,0.72,0.7178189186696043,0.7348484848484849,0.336,0.224,0.3200096536062397,0.37461833891854335,0.007996248124062032,0.0469767383691846,False,True,0.025
Stroke Prediction,Linear,0,split,894,43,19.596774193548388,10,0.5,0.496,-0.0040000000000000036,DKW Minimax,True,,0.724,0.7181309072864083,0.7472527472527473,0.368,0.184,0.36988484015743495,0.3526984967048621,0.00899574787393697,0.04497773886943472,True,True,0.026
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Baseline,True,,0.5,0.0,0.0,0.0,1.0,,,,,,,
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Threshold,True,,0.768,0.7543792149840821,0.7972027972027972,0.376,0.088,,,,,,,
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,SMOTE,True,,0.788,0.787746152005835,0.792156862745098,0.232,0.192,,,,,,,
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Balanced Weights,True,,0.796,0.7955073852579874,0.8015564202334631,0.232,0.176,,,,,,,
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Slacks Deltas,False,,,,,,,,,,,,,44.286
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,Min Deltas,True,,0.78,0.7735631842325487,0.8,0.32,0.12,,,,,,,1.865
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,F Deltas,True,,0.764,0.7461903242471052,0.7972508591065293,0.4,0.072,,,,,,,0.036
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,CP Sum,True,,0.768,0.7543792149840821,0.7972027972027972,0.376,0.088,0.4317678269274947,0.1858561405741878,0.003498499249624813,0.011994247123561782,True,True,3.08
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,CP Minimax,True,,0.776,0.7739767438366607,0.7878787878787878,0.28,0.168,0.3391836796380002,0.32806047734820887,0.002998749374687344,0.016491995997999002,True,True,3.062
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,DKW Sum,True,,0.768,0.7543792149840821,0.7972027972027972,0.376,0.088,0.4174947750995153,0.1905254149714511,0.005497498749374687,0.019490495247623814,True,True,0.081
Stroke Prediction,Linear,1,naive,2554,124,19.596774193548388,10,0.5,0.5,0.0,DKW Minimax,True,,0.784,0.782529232680799,0.7938931297709924,0.264,0.168,0.31894276294644613,0.3088236612332339,0.00449799899949975,0.022988744372186096,True,True,0.083
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,Baseline,True,,0.5,0.0,0.0,0.0,1.0,,,,,,,
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,Threshold,True,,0.776,0.7666655072455002,0.8,0.344,0.104,,,,,,,
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,SMOTE,True,,0.768,0.768,0.768,0.232,0.232,,,,,,,
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,Balanced Weights,True,,0.78,0.7799076868450522,0.782608695652174,0.232,0.208,,,,,,,
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,Slacks Deltas,False,,,,,,,,,,,,,2.818
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,Min Deltas,True,,0.764,0.7461903242471052,0.7972508591065293,0.4,0.072,,,,,,,0.287
Stroke Prediction,Linear,1,split,894,43,19.596774193548388,10,0.5,0.5,0.0,F Deltas,True,,0.764,0.7461903242471052,0.7972508591065293,0.4,0.072,,,,,,,0.034
