dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,reason,seconds
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,Baseline,True,0.4993455497382199,0.1078235357414606,0.0229885057471264,0.013089005235602,0.988219895287958,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,Threshold,True,0.506544502617801,0.3383577475055122,0.2079831932773109,0.1164921465968586,0.8704188481675392,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,SMOTE,True,0.5,0.262756686264384,0.1298405466970387,0.0746073298429319,0.925392670157068,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,Balanced Weights,False,,,,,,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,Slacks Deltas,True,0.5098167539267016,0.4020477108221903,0.2859866539561487,0.1767015706806282,0.8036649214659686,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,Min Deltas,True,0.5137434554973822,0.4760872638605553,0.397404703974047,0.2931937172774869,0.6793193717277487,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,F Deltas,True,0.5019633507853403,0.3505361700025912,0.2226762002042901,0.1387434554973822,0.8573298429319371,,,,,,,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,CP Sum,True,0.506544502617801,0.3383577475055122,0.2079831932773109,0.1164921465968586,0.8704188481675392,0.0489139788289576,0.1368134322210163,0.0019992496248124,0.0139932466233116,False,False,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,CP Minimax,True,0.5071989528795812,0.3847366088141117,0.2639296187683284,0.1623036649214659,0.8232984293193717,0.0973330405332899,0.1368134322210163,0.0029987493746873,0.0139932466233116,False,False,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,DKW Sum,True,0.506544502617801,0.3383577475055122,0.2079831932773109,0.1164921465968586,0.8704188481675392,0.0748816291804444,0.1689531766447864,0.0059972486243121,0.0249877438719359,False,False,,
Abalone Gender,GradientBoosting,0,naive,840,76,10.052631578947368,8,0.2763157894736842,0.5006544502617801,0.2243386607880959,DKW Minimax,True,0.518979057591623,0.4607367027455849,0.3680137575236457,0.2421465968586387,0.7198952879581152,0.165626329110021,0.1562212567768698,0.006996748374187,0.0244879939969985,False,False,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,Baseline,True,0.4980366492146597,0.1338538786575338,0.0352201257861635,0.0222513089005235,0.981675392670157,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,Threshold,True,0.5006544502617801,0.3389622766854177,0.2093264248704663,0.1308900523560209,0.8678010471204188,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,SMOTE,True,0.4954188481675393,0.2614526748094002,0.1288135593220339,0.0837696335078534,0.925392670157068,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,Balanced Weights,False,,,,,,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,Slacks Deltas,False,,,,,,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,Min Deltas,False,,,,,,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,F Deltas,False,,,,,,,,,,,,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,CP Sum,True,0.5006544502617801,0.0511309554571324,0.0052151238591916,0.0013089005235602,0.9973821989528796,0.0412465989324497,1.0,0.0034984992496248,0.0005,True,True,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,CP Minimax,True,0.5045811518324608,0.5043565855253518,0.5119277885235332,0.5104712041884817,0.4803664921465969,0.6744854602183417,0.6510344490480968,0.0209897448724362,0.0759622311155577,True,True,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,DKW Sum,True,0.5006544502617801,0.0511309554571324,0.0052151238591916,0.0013089005235602,0.9973821989528796,0.0919038908480928,1.0,0.0109947473736868,0.0005,True,True,,
Abalone Gender,GradientBoosting,0,split,294,27,10.052631578947368,8,0.1122448979591836,0.5019633507853403,0.3897184528261566,DKW Minimax,True,0.5045811518324608,0.5043565855253518,0.5119277885235332,0.5104712041884817,0.4803664921465969,0.6422722371456652,0.6119423898419444,0.031484492246123,0.1044479739869935,True,True,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,Baseline,True,0.4993455497382199,0.1017243938624369,0.0204865556978233,0.0117801047120418,0.9895287958115184,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,Threshold,True,0.4973821989528796,0.2555676454754918,0.1232876712328767,0.0759162303664921,0.9293193717277488,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,SMOTE,True,0.5261780104712042,0.3502476929996506,0.2198275862068965,0.0811518324607329,0.8664921465968587,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,Balanced Weights,False,,,,,,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,Slacks Deltas,True,0.5091623036649214,0.4181051164243899,0.3081180811808118,0.200261780104712,0.7814136125654451,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,Min Deltas,True,0.5071989528795812,0.4096335881540409,0.2969187675070028,0.193717277486911,0.7918848167539267,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,F Deltas,True,0.5085078534031413,0.3687663173390645,0.2437059415911379,0.1413612565445026,0.8416230366492147,,,,,,,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,CP Sum,True,0.4973821989528796,0.2555676454754918,0.1232876712328767,0.0759162303664921,0.9293193717277488,0.044774477761494,0.2407992883304138,0.0019992496248124,0.0184909954977488,False,False,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,CP Minimax,True,0.5098167539267016,0.4211528543261377,0.3122130394857668,0.2028795811518324,0.7774869109947644,0.1722526657474642,0.1826789929790314,0.0034984992496248,0.0159922461230615,False,False,,
Abalone Gender,GradientBoosting,1,naive,840,76,10.052631578947368,8,0.3026315789473684,0.5006544502617801,0.1980228713144117,DKW Sum,True,0.4973821989528796,0.2555676454754918,0.1232876712328767,0.0759162303664921,0.9293193717277488,0.072263828133324,0.2331091409324241,0.0059972486243121,0.0269867433716858,False,False,,
