dataset,model,seed,mode,c1,c2,cost_ratio,n_test,method,cost,err_0,err_1
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,Baseline,1492.40463815,0.008443908323281062,0.9171974522292994
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,Threshold (cost),912.2062017425,0.44752714113389624,0.2802547770700637
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,CP sum (uncosted),1025.1961118025,0.3848009650180941,0.3248407643312102
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,DKW sum (uncosted),1025.1961118025,0.3848009650180941,0.3248407643312102
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,CP minimax (uncosted),1031.29431904,0.3835946924004825,0.33121019108280253
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,DKW minimax (uncosted),1031.332401015,0.3751507840772014,0.3503184713375796
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,CP sum (costed),971.7691393975,0.9650180940892642,0.01910828025477707
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,DKW sum (costed),971.7691393975,0.9650180940892642,0.01910828025477707
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,CP minimax (costed),971.7691393975,0.9650180940892642,0.01910828025477707
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,DKW minimax (costed),988.7691393975,0.985524728588661,0.01910828025477707
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,CP sum (prior-costed),1025.1961118025,0.3848009650180941,0.3248407643312102
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,DKW sum (prior-costed),1025.1961118025,0.3848009650180941,0.3248407643312102
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,CP minimax (prior-costed),933.4529286825,0.4221954161640531,0.31210191082802546
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,DKW minimax (prior-costed),928.4529286825,0.4161640530759952,0.31210191082802546
Costcla Direct Marketing,Linear,0,naive,1.0,8.683044449225276,8.683044449225276,986,Oracle (test),904.2062017425,0.4378769601930036,0.2802547770700637
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,Baseline,1486.854522505,0.009650180940892641,0.9044585987261147
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,Threshold (cost),956.07665547,0.5983112183353438,0.21656050955414013
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,CP sum (uncosted),1525.2513995599998,0.006031363088057901,0.9490445859872612
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,DKW sum (uncosted),1525.2513995599998,0.006031363088057901,0.9490445859872612
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,CP minimax (uncosted),956.07665547,0.5983112183353438,0.21656050955414013
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,DKW minimax (uncosted),953.07665547,0.594692400482509,0.21656050955414013
Costcla Direct Marketing,Linear,0,split,1.0,8.683044449225276,8.683044449225276,986,CP sum (costed),984.0,0.9975874547647768,0.0
