seed,method,fit,Accuracy,G-Mean,F1
0,Baseline,True,0.8962264150943396,0.7808688094430303,0.7317073170731707
0,SMOTE,True,0.839622641509434,0.6048583789091339,0.5142857142857142
0,Balanced Weights,True,0.8301886792452831,0.7255499736252785,0.6086956521739131
0,BMR,True,0.9056603773584906,0.8260863751370022,0.7727272727272727
0,Threshold,True,0.9056603773584906,0.8260863751370022,0.7727272727272727
0,Slacks Deltas,False,,,
0,Min Deltas,True,0.839622641509434,0.8654384668117071,0.7213114754098361
0,Max Deltas,True,0.9150943396226415,0.8500358672489979,0.8
0,Avg Deltas,True,0.7924528301886793,0.8325199282265313,0.6666666666666666
0,F Deltas,True,0.839622641509434,0.8654384668117071,0.7213114754098361
0,CP Sum,True,0.9150943396226415,0.8500358672489979,0.8
0,CP Minimax,True,0.839622641509434,0.8654384668117071,0.7213114754098361
0,DKW Sum,True,0.9150943396226415,0.8500358672489979,0.8
0,DKW Minimax,True,0.839622641509434,0.8654384668117071,0.7213114754098361
1,Baseline,True,0.9056603773584906,0.8064778385455118,0.7619047619047619
1,SMOTE,True,0.8773584905660378,0.8452401400246814,0.7450980392156863
1,Balanced Weights,True,0.8301886792452831,0.7650920556760059,0.64
1,BMR,True,0.8867924528301887,0.8671980859787476,0.7692307692307693
1,Threshold,True,0.8867924528301887,0.8671980859787476,0.7692307692307693
1,Slacks Deltas,False,,,
1,Min Deltas,True,0.8113207547169812,0.8328250482397908,0.6774193548387096
1,Max Deltas,True,0.8113207547169812,0.8328250482397908,0.6774193548387096
1,Avg Deltas,True,0.8113207547169812,0.8328250482397908,0.6774193548387096
1,F Deltas,True,0.8113207547169812,0.8328250482397908,0.6774193548387096
1,CP Sum,True,0.8867924528301887,0.8671980859787476,0.7692307692307693
1,CP Minimax,True,0.8679245283018868,0.8553989227683015,0.7407407407407407
1,DKW Sum,True,0.8867924528301887,0.8671980859787476,0.7692307692307693
1,DKW Minimax,True,0.8679245283018868,0.8553989227683015,0.7407407407407407
2,Baseline,True,0.8773584905660378,0.771046169254443,0.6976744186046512
2,SMOTE,True,0.7924528301886793,0.5856516070822728,0.45
2,Balanced Weights,True,0.8679245283018868,0.88460178905723,0.7586206896551724
2,BMR,True,0.7924528301886793,0.8443379086983129,0.6764705882352942
2,Threshold,True,0.7924528301886793,0.8443379086983129,0.6764705882352942
2,Slacks Deltas,False,,,
2,Min Deltas,True,0.839622641509434,0.8654384668117071,0.7213114754098361
2,Max Deltas,True,0.839622641509434,0.8654384668117071,0.7213114754098361
2,Avg Deltas,True,0.839622641509434,0.8654384668117071,0.7213114754098361
2,F Deltas,True,0.839622641509434,0.8654384668117071,0.7213114754098361
2,CP Sum,True,0.7924528301886793,0.8443379086983129,0.6764705882352942
2,CP Minimax,True,0.7924528301886793,0.8443379086983129,0.6764705882352942
2,DKW Sum,True,0.7924528301886793,0.8443379086983129,0.6764705882352942
2,DKW Minimax,True,0.7924528301886793,0.8443379086983129,0.6764705882352942
3,Baseline,True,0.8773584905660378,0.7027819284987273,0.6486486486486487
3,SMOTE,True,0.8113207547169812,0.6944173436446354,0.5652173913043478
3,Balanced Weights,True,0.8207547169811321,0.6762522260005742,0.5581395348837209
3,BMR,True,0.7924528301886793,0.8064778385455119,0.6451612903225806
3,Threshold,True,0.7924528301886793,0.8064778385455119,0.6451612903225806
3,Slacks Deltas,True,0.8867924528301887,0.8337397382993762,0.75
3,Min Deltas,True,0.8584905660377359,0.8337397382993761,0.7169811320754716
3,Max Deltas,True,0.9056603773584906,0.8064778385455118,0.7619047619047619
3,Avg Deltas,True,0.9056603773584906,0.8064778385455118,0.7619047619047619
3,F Deltas,True,0.8584905660377359,0.8337397382993761,0.7169811320754716
3,CP Sum,True,0.7924528301886793,0.8064778385455119,0.6451612903225806
3,CP Minimax,True,0.7924528301886793,0.8064778385455119,0.6451612903225806
3,DKW Sum,True,0.7924528301886793,0.8064778385455119,0.6451612903225806
3,DKW Minimax,True,0.7924528301886793,0.8064778385455119,0.6451612903225806
4,Baseline,True,0.9150943396226415,0.8677838328108013,0.8085106382978723
4,SMOTE,True,0.8301886792452831,0.7459238828623134,0.625
4,Balanced Weights,True,0.839622641509434,0.8654384668117071,0.7213114754098361
4,BMR,True,0.7735849056603774,0.8410214463203253,0.6666666666666666
4,Threshold,True,0.7735849056603774,0.8410214463203253,0.6666666666666666
4,Slacks Deltas,True,0.9056603773584906,0.8622031714990901,0.7916666666666666
4,Min Deltas,True,0.8867924528301887,0.8509320571312721,0.76
4,Max Deltas,True,0.9150943396226415,0.8677838328108013,0.8085106382978723
4,Avg Deltas,True,0.9150943396226415,0.8677838328108013,0.8085106382978723
4,F Deltas,True,0.8867924528301887,0.8509320571312721,0.76
4,CP Sum,True,0.7735849056603774,0.8410214463203253,0.6666666666666666
4,CP Minimax,True,0.7735849056603774,0.8410214463203253,0.6666666666666666
4,DKW Sum,True,0.7735849056603774,0.8410214463203253,0.6666666666666666
